method,kind,params,acc,avg_scales
stab_r3_d0.35_e0.1_m2,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 0.1, ""min_scale"": 2}",0.8184032476319351,4.766035182679296
stab_r3_d0.35_e0.05_m1,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 0.05, ""min_scale"": 1}",0.8192151556156969,4.829769959404601
stab_r3_d0.35_e0.05_m2,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 0.05, ""min_scale"": 2}",0.8192151556156969,4.829769959404601
stab_r3_d0.35_e0.02_m1,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 0.02, ""min_scale"": 1}",0.8225981055480379,5.022327469553451
stab_r3_d0.35_e0.02_m2,stability,"{""r"": 3, ""delta"": 0.35, ""eps"": 0.02, ""min_scale"": 2}",0.8225981055480379,5.022327469553451
stab_r3_d0.5_e1.0_m1,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 1.0, ""min_scale"": 1}",0.8211096075778078,5.2516914749661705
stab_r3_d0.5_e1.0_m2,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 1.0, ""min_scale"": 2}",0.8211096075778078,5.2516914749661705
stab_r3_d0.5_e0.1_m1,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 0.1, ""min_scale"": 1}",0.8211096075778078,5.2814614343707715
stab_r3_d0.5_e0.1_m2,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 0.1, ""min_scale"": 2}",0.8211096075778078,5.2814614343707715
stab_r3_d0.5_e0.05_m1,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 0.05, ""min_scale"": 1}",0.8213802435723951,5.3332882273342355
stab_r3_d0.5_e0.05_m2,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 0.05, ""min_scale"": 2}",0.8213802435723951,5.3332882273342355
stab_r3_d0.5_e0.02_m1,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 0.02, ""min_scale"": 1}",0.8224627875507442,5.484709066305819
stab_r3_d0.5_e0.02_m2,stability,"{""r"": 3, ""delta"": 0.5, ""eps"": 0.02, ""min_scale"": 2}",0.8224627875507442,5.484709066305819
stab_r3_d0.65_e1.0_m1,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 1.0, ""min_scale"": 1}",0.823274695534506,5.854397834912043
stab_r3_d0.65_e1.0_m2,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 1.0, ""min_scale"": 2}",0.823274695534506,5.854397834912043
stab_r3_d0.65_e0.1_m1,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 0.1, ""min_scale"": 1}",0.823274695534506,5.883220568335589
stab_r3_d0.65_e0.1_m2,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 0.1, ""min_scale"": 2}",0.823274695534506,5.883220568335589
stab_r3_d0.65_e0.05_m1,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 0.05, ""min_scale"": 1}",0.823274695534506,5.922868741542625
stab_r3_d0.65_e0.05_m2,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 0.05, ""min_scale"": 2}",0.823274695534506,5.922868741542625
stab_r3_d0.65_e0.02_m1,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 0.02, ""min_scale"": 1}",0.8238159675236807,6.0370771312584575
stab_r3_d0.65_e0.02_m2,stability,"{""r"": 3, ""delta"": 0.65, ""eps"": 0.02, ""min_scale"": 2}",0.8238159675236807,6.0370771312584575
margin_d0.2,margin_only,"{""delta"": 0.2}",0.7520974289580514,2.6703653585926928
margin_d0.35,margin_only,"{""delta"": 0.35}",0.7905277401894452,3.387550744248985
margin_d0.5,margin_only,"{""delta"": 0.5}",0.8079837618403247,4.173748308525034
margin_d0.65,margin_only,"{""delta"": 0.65}",0.8178619756427605,5.0600811907983765
